"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
1.62877e-11,2.94001e+02,1.38419e-08,4.63867e-06,1.19624e+00,1.59373e-07,2.13872e-01,6.38428e-02,0.00000e+00
2.41773e-02,1.26024e+03,8.22984e+00,6.03973e+00,2.54320e-01,6.74610e-01,5.90868e-02,5.11013e-03,0.00000e+00
1.31960e-02,1.68234e+03,4.78343e+00,8.34712e+00,1.91426e-01,5.01384e-01,6.43030e-03,4.39801e-03,0.00000e+00
1.32878e-03,1.46636e+03,1.12199e+00,5.30043e+00,2.35274e-01,1.81994e-01,1.52021e-02,8.27644e-03,0.00000e+00
2.55943e-03,7.26825e+02,1.98798e+00,1.84294e+00,4.77164e-01,6.42118e-02,2.29858e-01,2.87577e-02,0.00000e+00
8.59158e-04,9.24080e+02,7.34303e-01,2.64456e+00,3.74414e-01,9.04467e-02,6.70446e-01,2.39182e-02,0.00000e+00
8.44674e-04,9.09703e+02,7.21951e-01,2.57455e+00,3.81104e-01,8.80518e-02,6.74326e-01,2.69747e-02,0.00000e+00
8.31376e-04,9.22098e+02,7.10575e-01,2.63636e+00,3.75168e-01,9.01658e-02,6.73961e-01,2.33980e-02,0.00000e+00
0.00000e+00,2.94000e+02,5.60519e-45,5.90243e-15,1.19624e+00,1.67364e-25,2.95450e-02,1.19977e-01,0.00000e+00
1.69662e-02,1.70486e+03,3.68185e+00,7.59436e+00,1.94075e-01,3.45553e-01,4.84266e-02,6.84806e-03,0.00000e+00
8.81577e-14,2.94000e+02,7.45780e-11,2.78165e-07,1.19624e+00,9.56817e-09,3.86221e-01,1.02155e-01,0.00000e+00
1.73117e-02,1.32698e+03,7.66054e+00,6.47439e+00,2.40142e-01,6.47151e-01,1.05020e-02,4.28676e-03,0.00000e+00
1.54300e-02,1.03966e+03,6.66944e+00,4.63376e+00,3.06514e-01,7.46854e-01,1.04549e-02,4.05305e-03,0.00000e+00
1.05731e-02,1.43115e+03,6.32808e+00,5.43106e+00,2.37491e-01,1.95338e-01,2.98591e-01,2.29990e-02,0.00000e+00
9.16277e-03,1.34061e+03,5.89956e+00,4.89919e+00,2.54795e-01,1.74176e-01,2.99304e-01,2.48138e-02,0.00000e+00
1.04411e-02,1.42425e+03,6.32295e+00,5.38736e+00,2.38842e-01,1.93451e-01,2.99985e-01,2.32036e-02,0.00000e+00
2.36990e-08,1.90065e+03,4.88488e-05,7.77947e+00,1.78515e-01,2.70941e-01,4.04546e-03,6.38486e-03,0.00000e+00
3.29517e-03,9.04459e+02,2.25028e+00,2.58610e+00,3.90149e-01,9.19221e-02,7.42079e-02,1.14960e-02,0.00000e+00
2.06810e-24,2.94000e+02,1.74413e-21,1.60079e-12,1.19624e+00,5.50611e-14,2.29053e-01,1.31126e-01,0.00000e+00
2.26071e-03,4.28552e+02,1.02806e+00,8.01037e-01,7.33649e-01,9.59352e-01,8.31375e-02,2.12091e-03,0.00000e+00
3.88558e-22,2.94000e+02,3.26929e-19,2.80262e-11,1.19624e+00,9.64796e-13,8.34531e-02,9.12406e-02,0.00000e+00
4.51274e-03,5.20006e+02,1.96763e+00,1.35507e+00,6.12870e-01,9.29771e-01,4.22038e-02,3.30844e-03,0.00000e+00
3.43679e-03,1.13753e+03,2.90346e+00,3.66185e+00,3.05976e-01,1.25435e-01,4.53159e-01,3.23653e-02,0.00000e+00
1.86154e-02,1.74229e+03,5.26271e+00,7.69712e+00,1.90154e-01,3.20237e-01,2.69520e-01,1.45918e-02,0.00000e+00
0.00000e+00,2.45461e+02,8.91455e-32,3.84419e-15,1.19616e+00,1.53812e-28,0.00000e+00,1.16543e-01,0.00000e+00
8.33411e-04,3.74446e+02,3.67305e-01,4.63673e-01,8.38432e-01,9.76028e-01,9.03582e-02,9.27199e-04,0.00000e+00
